timestamp,run_id,size,next_pow2,rep,seed,device_id,device_name,compute_capability,sm_count,threads,blocks,h2d_ms,total_kernel_ms,kernel_invocations,d2h_ms,total_ms,throughput_Melems_s,verify_passed
20260207_010608,1,1048576,1048576,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,1024,0.661,8.160,175,0.682,13.122,79.913,1
20260207_010608,2,1048576,1048576,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,1024,0.637,7.699,175,0.676,12.495,83.922,1
20260207_010609,3,1048576,1048576,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,1024,0.639,7.713,175,0.678,12.460,84.157,1
20260207_010609,4,2097152,2097152,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,1024,1.265,16.882,196,1.317,25.765,81.394,1
20260207_010609,5,2097152,2097152,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,1024,1.264,16.649,196,1.321,25.607,81.897,1
20260207_010609,6,2097152,2097152,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,1024,1.266,16.972,196,1.349,25.900,80.971,1
20260207_010609,7,4194304,4194304,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,1024,2.529,35.590,218,2.589,52.264,80.252,1
20260207_010610,8,4194304,4194304,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,1024,2.521,35.632,218,2.588,52.636,79.685,1
20260207_010610,9,4194304,4194304,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,1024,2.520,35.574,218,2.589,52.008,80.648,1
20260207_010610,10,1048576,1048576,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,2048,0.639,7.702,175,0.686,12.424,84.401,1
20260207_010610,11,1048576,1048576,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,2048,0.637,7.686,175,0.689,12.307,85.202,1
20260207_010611,12,1048576,1048576,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,2048,0.633,7.739,175,0.685,12.307,85.199,1
20260207_010611,13,2097152,2097152,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,2048,1.267,16.807,196,1.321,25.990,80.692,1
20260207_010611,14,2097152,2097152,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,2048,1.271,17.051,196,1.319,27.633,75.892,1
20260207_010611,15,2097152,2097152,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,2048,1.267,16.800,196,1.330,26.645,78.708,1
20260207_010611,16,4194304,4194304,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,2048,2.519,35.583,218,2.598,52.415,80.021,1
20260207_010612,17,4194304,4194304,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,2048,2.520,35.619,218,2.590,52.213,80.331,1
