timestamp,device,ArraySize,AlgName,AlgId,E,ThreadsMerge,Repetition,H2D_ms,Bitonic_ms,Merge_ms,MergePassCount,MergePassAvg_ms,MergePassStddev_ms,D2H_ms,TotalGPU_ms,Verified
"2026-02-07 23:39:18","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,2,128,0,81.821,45.892,428.354,18,23.797,13.021,82.387,474.245,1
"2026-02-07 23:39:20","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,2,128,1,81.811,45.894,423.422,18,23.523,12.262,82.016,469.316,1
"2026-02-07 23:39:22","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,2,128,2,82.106,45.950,423.166,18,23.509,12.310,82.399,469.116,1
"2026-02-07 23:39:24","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,2,256,0,81.810,45.921,414.866,18,23.048,11.677,82.463,460.787,1
"2026-02-07 23:39:26","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,2,256,1,81.823,46.065,417.047,18,23.169,11.909,82.459,463.112,1
"2026-02-07 23:39:28","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,2,256,2,81.830,46.509,418.749,18,23.264,12.206,81.999,465.258,1
"2026-02-07 23:39:30","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,2,512,0,81.833,46.342,414.610,18,23.034,11.513,82.091,460.952,1
"2026-02-07 23:39:32","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,2,512,1,81.883,46.666,411.614,18,22.867,11.125,82.039,458.280,1
"2026-02-07 23:39:34","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,2,512,2,81.938,46.500,416.543,18,23.141,11.722,82.409,463.043,1
"2026-02-07 23:39:36","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,4,128,0,81.900,46.275,734.888,18,40.827,37.164,82.407,781.162,1
"2026-02-07 23:39:39","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,4,128,1,81.852,46.471,736.626,18,40.924,37.168,82.912,783.096,1
"2026-02-07 23:39:41","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,4,128,2,81.821,46.447,735.475,18,40.860,37.207,82.631,781.922,1
"2026-02-07 23:39:44","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,4,256,0,81.862,46.493,712.927,18,39.607,36.396,82.014,759.420,1
"2026-02-07 23:39:46","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,4,256,1,81.821,46.448,710.245,18,39.458,36.494,82.835,756.693,1
"2026-02-07 23:39:48","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,4,256,2,81.879,46.521,713.661,18,39.648,36.365,82.386,760.182,1
"2026-02-07 23:39:51","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,4,512,0,81.804,46.283,699.378,18,38.854,35.788,82.034,745.661,1
"2026-02-07 23:39:53","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,4,512,1,81.852,46.728,701.555,18,38.975,35.827,82.833,748.283,1
"2026-02-07 23:39:55","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,4,512,2,81.902,46.285,699.283,18,38.849,35.748,82.678,745.569,1
"2026-02-07 23:39:58","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,8,128,0,81.795,46.440,1386.343,18,77.019,76.092,82.395,1432.784,1
"2026-02-07 23:40:01","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,8,128,1,81.896,46.703,1384.771,18,76.932,75.946,82.398,1431.474,1
"2026-02-07 23:40:04","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,8,128,2,81.833,46.625,1385.787,18,76.988,75.950,82.394,1432.412,1
"2026-02-07 23:40:07","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,8,256,0,82.346,46.718,1308.819,18,72.712,75.462,82.016,1355.537,1
"2026-02-07 23:40:10","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,8,256,1,81.815,46.518,1312.181,18,72.899,75.297,82.033,1358.699,1
"2026-02-07 23:40:13","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,8,256,2,81.815,46.680,1312.657,18,72.925,75.251,82.103,1359.337,1
"2026-02-07 23:40:16","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,8,512,0,81.829,46.682,1267.778,18,70.432,74.079,82.044,1314.460,1
"2026-02-07 23:40:19","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,8,512,1,81.818,46.953,1267.501,18,70.417,74.080,82.007,1314.454,1
"2026-02-07 23:40:22","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,Coarsened,1,8,512,2,82.511,46.574,1268.969,18,70.498,74.241,82.635,1315.544,1
