timestamp,device,ArraySize,AlgName,AlgId,E,ThreadsMerge,Repetition,H2D_ms,Bitonic_ms,Merge_ms,MergePassCount,MergePassAvg_ms,MergePassStddev_ms,D2H_ms,TotalGPU_ms,Verified
"2026-02-07 23:38:23","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,2,128,0,91.843,55.072,384.156,18,21.342,8.602,81.951,439.228,1
"2026-02-07 23:38:25","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,2,128,1,82.016,46.008,387.257,18,21.514,8.483,82.230,433.265,1
"2026-02-07 23:38:28","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,2,128,2,82.259,46.295,386.077,18,21.449,8.401,82.156,432.372,1
"2026-02-07 23:38:30","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,2,256,0,81.806,45.633,383.366,18,21.298,8.449,82.118,428.999,1
"2026-02-07 23:38:32","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,2,256,1,81.818,45.685,384.591,18,21.366,8.502,82.168,430.276,1
"2026-02-07 23:38:34","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,2,256,2,82.557,45.736,383.912,18,21.328,8.519,82.095,429.648,1
"2026-02-07 23:38:36","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,2,512,0,81.805,45.879,392.908,18,21.828,8.710,82.009,438.786,1
"2026-02-07 23:38:38","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,2,512,1,82.507,45.685,394.010,18,21.889,8.710,82.377,439.695,1
"2026-02-07 23:38:40","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,2,512,2,81.795,45.794,393.902,18,21.883,8.733,82.611,439.695,1
"2026-02-07 23:38:42","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,4,128,0,81.810,45.969,386.093,18,21.450,8.492,82.034,432.062,1
"2026-02-07 23:38:44","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,4,128,1,81.795,45.819,384.121,18,21.340,8.522,82.694,429.940,1
"2026-02-07 23:38:46","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,4,128,2,82.917,45.880,383.107,18,21.284,8.600,82.348,428.987,1
"2026-02-07 23:38:48","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,4,256,0,81.804,45.856,386.322,18,21.462,8.526,82.073,432.178,1
"2026-02-07 23:38:50","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,4,256,1,81.837,46.023,386.110,18,21.451,8.509,82.048,432.133,1
"2026-02-07 23:38:52","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,4,256,2,81.832,46.114,387.404,18,21.522,8.520,85.012,433.517,1
"2026-02-07 23:38:54","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,4,512,0,81.919,46.028,395.246,18,21.958,8.726,82.003,441.275,1
"2026-02-07 23:38:56","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,4,512,1,81.847,46.083,396.381,18,22.021,8.719,82.040,442.464,1
"2026-02-07 23:38:58","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,4,512,2,81.850,46.000,396.121,18,22.007,8.693,82.014,442.120,1
"2026-02-07 23:39:00","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,8,128,0,81.819,46.220,387.668,18,21.537,8.487,82.024,433.889,1
"2026-02-07 23:39:02","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,8,128,1,82.401,45.896,387.255,18,21.514,8.499,82.193,433.151,1
"2026-02-07 23:39:04","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,8,128,2,81.828,45.906,387.751,18,21.542,8.520,82.066,433.657,1
"2026-02-07 23:39:06","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,8,256,0,81.858,45.864,387.400,18,21.522,8.560,82.609,433.263,1
"2026-02-07 23:39:08","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,8,256,1,81.908,46.012,387.486,18,21.527,8.567,82.893,433.498,1
"2026-02-07 23:39:10","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,8,256,2,81.856,45.862,387.710,18,21.539,8.554,82.137,433.571,1
"2026-02-07 23:39:12","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,8,512,0,81.839,46.242,397.469,18,22.082,8.711,82.845,443.711,1
"2026-02-07 23:39:14","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,8,512,1,81.858,45.862,397.055,18,22.059,8.764,82.037,442.917,1
"2026-02-07 23:39:16","NVIDIA GeForce RTX 3050 Ti Laptop GPU",134217728,PerElement,0,8,512,2,82.277,46.080,396.818,18,22.045,8.713,82.365,442.898,1
