timestamp,run_id,size,next_pow2,rep,seed,device_id,device_name,compute_capability,sm_count,threads,blocks,algorithm,h2d_ms,total_kernel_ms,kernel_invocations,d2h_ms,total_ms,throughput_Melems_s,verify_passed
20260207_230441,1,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"CustomRadix",80.329,187.246,56,79.898,347.473,386.268,1
20260207_230453,1,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"ThrustBaseline",245.860,49.214,1,82.300,377.374,355.663,1
20260207_230505,2,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"CustomRadix",206.952,209.836,56,80.833,497.621,269.719,1
20260207_230516,2,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"ThrustBaseline",227.233,48.880,1,82.335,358.449,374.440,1
20260207_230529,3,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"CustomRadix",208.829,205.647,56,80.818,495.293,270.986,1
20260207_230540,3,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"ThrustBaseline",246.434,49.056,1,82.305,377.794,355.267,1
20260207_230553,4,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"CustomRadix",201.949,228.634,56,81.282,511.865,262.213,1
20260207_230604,4,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"ThrustBaseline",225.105,48.255,1,82.308,355.668,377.368,1
20260207_230616,5,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"CustomRadix",244.477,231.472,56,80.837,556.786,241.058,1
20260207_230628,5,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"ThrustBaseline",158.103,48.981,1,82.286,289.370,463.827,1
20260207_230640,6,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"CustomRadix",222.590,230.231,56,80.636,533.457,251.600,1
20260207_230651,6,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"ThrustBaseline",196.750,48.961,1,82.293,328.004,409.195,1
20260207_230704,7,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"CustomRadix",222.680,496.342,56,80.480,799.501,167.877,1
20260207_230716,7,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"ThrustBaseline",246.153,48.584,1,82.622,377.360,355.676,1
20260207_230728,8,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"CustomRadix",292.163,411.750,56,79.978,783.890,171.220,1
20260207_230740,8,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"ThrustBaseline",226.600,48.636,1,82.321,357.556,375.375,1
20260207_230752,9,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"CustomRadix",215.836,405.887,56,81.043,702.766,190.985,1
20260207_230804,9,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"ThrustBaseline",237.161,49.004,1,82.669,368.835,363.897,1
