timestamp,run_id,size,next_pow2,rep,seed,device_id,device_name,compute_capability,sm_count,threads,blocks,h2d_ms,total_kernel_ms,kernel_invocations,d2h_ms,total_ms,throughput_Melems_s,verify_passed
20260207_171632,1,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,0.000,1876.801,-1,0.000,1876.801,71.514,0
20260207_171700,1,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,88.424,77.822,1,83.813,250.059,536.744,1
20260207_171730,2,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,0.000,2510.345,-1,0.000,2510.345,53.466,0
20260207_171757,2,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,237.064,61.692,1,83.245,382.000,351.355,1
20260207_171826,3,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,0.000,2664.010,-1,0.000,2664.010,50.382,0
20260207_171853,3,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,173.681,62.147,1,126.438,362.266,370.495,1
20260207_171923,4,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,0.000,2747.071,-1,0.000,2747.071,48.858,0
20260207_171950,4,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,194.309,61.894,1,87.115,343.318,390.943,1
20260207_172021,5,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,0.000,2502.797,-1,0.000,2502.797,53.627,0
20260207_172048,5,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,146.000,58.371,1,84.300,288.671,464.951,1
20260207_172118,6,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,0.000,2600.643,-1,0.000,2600.643,51.609,0
20260207_172145,6,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,201.154,59.939,1,83.538,344.631,389.453,1
20260207_172216,7,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,0.000,2878.168,-1,0.000,2878.168,46.633,0
