timestamp,run_id,size,next_pow2,rep,seed,device_id,device_name,compute_capability,sm_count,threads,blocks,algorithm,h2d_ms,total_kernel_ms,kernel_invocations,d2h_ms,total_ms,throughput_Melems_s,verify_passed
20260207_172352,1,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"CustomHybrid(Radix)",0.000,968.342,-1,0.000,968.342,138.606,1
20260207_172403,1,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"ThrustBaseline",260.171,51.538,1,82.162,393.871,340.765,1
20260207_172416,2,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"CustomHybrid(Radix)",0.000,1054.572,-1,0.000,1054.572,127.272,1
20260207_172427,2,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"ThrustBaseline",277.282,48.971,1,82.143,408.396,328.646,1
20260207_172439,3,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"CustomHybrid(Radix)",0.000,1074.470,-1,0.000,1074.470,124.915,1
20260207_172451,3,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,256,524288,"ThrustBaseline",257.666,48.196,1,82.142,388.005,345.918,1
20260207_172504,4,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"CustomHybrid(Radix)",0.000,1081.639,-1,0.000,1081.639,124.087,1
20260207_172515,4,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"ThrustBaseline",220.273,48.571,1,82.143,350.987,382.401,1
20260207_172528,5,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"CustomHybrid(Radix)",0.000,1069.782,-1,0.000,1069.782,125.463,1
20260207_172539,5,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"ThrustBaseline",188.283,48.475,1,82.136,318.893,420.886,1
20260207_172552,6,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"CustomHybrid(Radix)",0.000,1147.197,-1,0.000,1147.197,116.996,1
20260207_172603,6,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,262144,"ThrustBaseline",177.581,48.965,1,82.144,308.690,434.798,1
20260207_172616,7,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"CustomHybrid(Radix)",0.000,1320.492,-1,0.000,1320.492,101.642,1
20260207_172627,7,134217728,134217728,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"ThrustBaseline",249.547,48.248,1,94.740,392.535,341.926,1
20260207_172640,8,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"CustomHybrid(Radix)",0.000,1303.341,-1,0.000,1303.341,102.980,1
20260207_172651,8,134217728,134217728,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"ThrustBaseline",250.797,48.580,1,82.138,381.515,351.802,1
20260207_172704,9,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"CustomHybrid(Radix)",0.000,1346.361,-1,0.000,1346.361,99.689,1
20260207_172715,9,134217728,134217728,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,1024,131072,"ThrustBaseline",254.963,49.135,1,82.146,386.244,347.494,1
